,Gender,Age,Height,Built,State,District,Area,Railway
0,FEMALE,16,122.0,3,DELHI,G.T.B. ENCLAVE,NORTH EAST,False
1,MALE,19,153.0,2,DELHI,PUNJABI BAGH,WEST,False
2,MALE,19,153.0,2,DELHI,NEW ASHOK NAGAR,EAST,False
3,MALE,24,153.0,2,DELHI,KALYANPURI,EAST,False
4,MALE,21,153.0,2,DELHI,WELCOME,NORTH EAST,False
6,MALE,28,153.0,2,DELHI,JYOTI NAGAR,NORTH EAST,False
7,MALE,21,153.0,2,DELHI,YAMUNA VHR,NORTH EAST,True
8,MALE,16,153.0,3,DELHI,YAMUNA VHR,NORTH EAST,True
9,MALE,13,122.0,2,DELHI,RANI BAGH,NORTH WEST,False
10,MALE,8,92.0,2,DELHI,SEEMAPURI,NORTH EAST,False
11,MALE,30,153.0,3,DELHI,UTTAM NAGAR,WEST,False
12,MALE,30,153.0,5,DELHI,RANHOLA,WEST,False
13,MALE,45,153.0,2,DELHI,AMAR COLONY,SOUTH EAST,False
14,FEMALE,25,153.0,2,DELHI,SARAI ROHILLA,NORTH,False
15,FEMALE,16,122.0,3,DELHI,SHAHBAD DAIRY,CENTRAL,False
16,FEMALE,24,153.0,3,DELHI,SUBHASH PLACE,NORTH WEST,False
17,MALE,23,183.0,2,DELHI,MEHRAULI,SOUTH WEST,False
19,MALE,9,92.0,5,DELHI,SADAR BAZAR,NORTH,True
20,MALE,15,122.0,2,DELHI,NARELA,NORTH,True
21,MALE,17,153.0,3,DELHI,FATEHPUR BERI,SOUTH,False
22,FEMALE,19,153.0,2,DELHI,UTTAM NAGAR,WEST,False
23,MALE,15,153.0,2,DELHI,MAURYA ENCLAVE,NORTH WEST,False
24,FEMALE,16,153.0,6,DELHI,SHAHBAD DAIRY,CENTRAL,False
25,FEMALE,18,122.0,3,DELHI,SHAHBAD DAIRY,CENTRAL,False
26,MALE,29,153.0,3,DELHI,NARELA,NORTH,True
27,MALE,20,153.0,3,DELHI,NARELA,NORTH,True
28,FEMALE,16,153.0,3,DELHI,VIJAY VIHAR,CENTRAL,False
29,FEMALE,24,153.0,3,DELHI,NAND NAGRI,NORTH EAST,False
30,FEMALE,21,153.0,2,DELHI,SHAHBAD DAIRY,CENTRAL,False
